date,campaign_id,advertiser_id,placement_id,platform,impressions,clicks,conversions,spend_inr
2024-11-01,KFC_20241101_20250228_001,ADV01,PL01,Eats,7290,361,45,400.98
2024-11-01,KFC_20241101_20250228_001,ADV01,PL02,Eats,6128,332,53,429.0
2024-11-01,KFC_20241101_20250228_001,ADV01,PL04,Eats,4015,386,113,361.43
2024-11-02,KFC_20241101_20250228_001,ADV01,PL01,Eats,10463,461,63,442.68
2024-11-02,KFC_20241101_20250228_001,ADV01,PL02,Eats,8509,616,101,458.22
2024-11-02,KFC_20241101_20250228_001,ADV01,PL04,Eats,5446,548,155,377.09
2024-11-03,KFC_20241101_20250228_001,ADV01,PL01,Eats,9647,482,57,408.16
2024-11-03,KFC_20241101_20250228_001,ADV01,PL02,Eats,6901,518,94,371.6
2024-11-03,KFC_20241101_20250228_001,ADV01,PL04,Eats,5939,722,171,411.18
2024-11-04,KFC_20241101_20250228_001,ADV01,PL01,Eats,7608,331,28,418.45
2024-11-04,KFC_20241101_20250228_001,ADV01,PL02,Eats,6144,336,51,430.11
2024-11-04,KFC_20241101_20250228_001,ADV01,PL04,Eats,5253,523,169,472.78
2024-11-05,KFC_20241101_20250228_001,ADV01,PL01,Eats,7131,251,30,392.24
2024-11-05,KFC_20241101_20250228_001,ADV01,PL02,Eats,5845,312,61,409.19
2024-11-05,KFC_20241101_20250228_001,ADV01,PL04,Eats,3982,389,95,358.47
2024-11-06,KFC_20241101_20250228_001,ADV01,PL01,Eats,7945,308,34,436.98
2024-11-06,KFC_20241101_20250228_001,ADV01,PL02,Eats,6035,332,80,422.51
2024-11-06,KFC_20241101_20250228_001,ADV01,PL04,Eats,5011,494,165,451.06
2024-11-07,KFC_20241101_20250228_001,ADV01,PL01,Eats,7798,382,33,428.9
2024-11-07,KFC_20241101_20250228_001,ADV01,PL02,Eats,5409,278,49,378.66
2024-11-07,KFC_20241101_20250228_001,ADV01,PL04,Eats,4475,341,111,402.75
2024-11-08,KFC_20241101_20250228_001,ADV01,PL01,Eats,7250,277,31,398.76
2024-11-08,KFC_20241101_20250228_001,ADV01,PL02,Eats,5311,375,57,371.78
2024-11-08,KFC_20241101_20250228_001,ADV01,PL04,Eats,5305,494,117,477.53
2024-11-09,KFC_20241101_20250228_001,ADV01,PL01,Eats,8387,515,63,354.86
2024-11-09,KFC_20241101_20250228_001,ADV01,PL02,Eats,8269,750,115,445.29
2024-11-09,KFC_20241101_20250228_001,ADV01,PL04,Eats,5762,532,176,398.97
2024-11-10,KFC_20241101_20250228_001,ADV01,PL01,Eats,10212,519,45,432.08
2024-11-10,KFC_20241101_20250228_001,ADV01,PL02,Eats,7299,555,121,393.04
2024-11-10,KFC_20241101_20250228_001,ADV01,PL04,Eats,6266,790,218,433.86
2024-11-11,KFC_20241101_20250228_001,ADV01,PL01,Eats,6711,305,38,369.12
2024-11-11,KFC_20241101_20250228_001,ADV01,PL02,Eats,6061,423,82,424.33
2024-11-11,KFC_20241101_20250228_001,ADV01,PL04,Eats,4661,380,81,419.51
2024-11-12,KFC_20241101_20250228_001,ADV01,PL01,Eats,6684,228,27,367.65
2024-11-12,KFC_20241101_20250228_001,ADV01,PL02,Eats,5620,355,83,393.46
2024-11-12,KFC_20241101_20250228_001,ADV01,PL04,Eats,4281,346,109,385.33
2024-11-13,KFC_20241101_20250228_001,ADV01,PL01,Eats,6959,242,24,382.77
2024-11-13,KFC_20241101_20250228_001,ADV01,PL02,Eats,5347,394,89,374.32
2024-11-13,KFC_20241101_20250228_001,ADV01,PL04,Eats,4814,464,149,433.34
2024-11-14,KFC_20241101_20250228_001,ADV01,PL01,Eats,6863,333,38,377.49
2024-11-14,KFC_20241101_20250228_001,ADV01,PL02,Eats,6501,474,84,455.1
2024-11-14,KFC_20241101_20250228_001,ADV01,PL04,Eats,4088,306,82,367.92
2024-11-15,KFC_20241101_20250228_001,ADV01,PL01,Eats,8298,398,33,456.42
2024-11-15,KFC_20241101_20250228_001,ADV01,PL02,Eats,5971,363,61,418.01
2024-11-15,KFC_20241101_20250228_001,ADV01,PL04,Eats,4101,322,110,369.15
2024-11-16,KFC_20241101_20250228_001,ADV01,PL01,Eats,9326,513,63,394.57
2024-11-16,KFC_20241101_20250228_001,ADV01,PL02,Eats,7421,722,174,399.62
2024-11-16,KFC_20241101_20250228_001,ADV01,PL04,Eats,5570,607,153,385.64
2024-11-17,KFC_20241101_20250228_001,ADV01,PL01,Eats,9212,409,48,389.77
2024-11-17,KFC_20241101_20250228_001,ADV01,PL02,Eats,7744,520,90,417.0
2024-11-17,KFC_20241101_20250228_001,ADV01,PL04,Eats,6755,660,151,467.7
2024-11-18,KFC_20241101_20250228_001,ADV01,PL01,Eats,7551,378,36,415.35
2024-11-18,KFC_20241101_20250228_001,ADV01,PL02,Eats,6259,435,74,438.18
2024-11-18,KFC_20241101_20250228_001,ADV01,PL04,Eats,4946,393,117,445.19
2024-11-19,KFC_20241101_20250228_001,ADV01,PL01,Eats,7879,335,29,433.36
2024-11-19,KFC_20241101_20250228_001,ADV01,PL02,Eats,6551,383,63,458.58
2024-11-19,KFC_20241101_20250228_001,ADV01,PL04,Eats,3991,347,105,359.26
2024-11-20,KFC_20241101_20250228_001,ADV01,PL01,Eats,6477,273,26,356.24
2024-11-20,KFC_20241101_20250228_001,ADV01,PL02,Eats,6211,340,73,434.81
2024-11-20,KFC_20241101_20250228_001,ADV01,PL04,Eats,4472,441,101,402.51
2024-11-21,KFC_20241101_20250228_001,ADV01,PL01,Eats,7214,256,34,396.8
2024-11-21,KFC_20241101_20250228_001,ADV01,PL02,Eats,6626,377,79,463.83
2024-11-21,KFC_20241101_20250228_001,ADV01,PL04,Eats,5070,435,123,456.32
2024-11-22,KFC_20241101_20250228_001,ADV01,PL01,Eats,6989,245,32,384.4
2024-11-22,KFC_20241101_20250228_001,ADV01,PL02,Eats,6667,442,79,466.72
2024-11-22,KFC_20241101_20250228_001,ADV01,PL04,Eats,4420,404,135,397.82
2024-11-23,KFC_20241101_20250228_001,ADV01,PL01,Eats,10992,667,80,465.05
2024-11-23,KFC_20241101_20250228_001,ADV01,PL02,Eats,6772,479,112,364.68
2024-11-23,KFC_20241101_20250228_001,ADV01,PL04,Eats,6210,545,122,429.97
2024-11-24,KFC_20241101_20250228_001,ADV01,PL01,Eats,10331,452,42,437.1
2024-11-24,KFC_20241101_20250228_001,ADV01,PL02,Eats,7851,692,145,422.76
2024-11-24,KFC_20241101_20250228_001,ADV01,PL04,Eats,5520,653,158,382.2
2024-11-25,KFC_20241101_20250228_001,ADV01,PL01,Eats,7178,331,39,394.84
2024-11-25,KFC_20241101_20250228_001,ADV01,PL02,Eats,6575,440,89,460.32
